marker_id,name,address,latitude,longitude,working_hours
480,Müştəri Xidmətləri Mərkəzi,C. Məmmədquluzadə küç. 85; 192/193,40.3970232932525,49.8264375,I-V: 09:10-17:00 VI-VII: çalışmır depozit qutuları
3503,Rəqəmsal filialı,A. Məhərrəmov küç. 99,40.40956358857328,49.80787605894584,I-V: 09:10-17:30 VI: 10:00-14:00 VII: çalışmır
3540,Rəqəmsal 2 filialı,Xəqani küç. 103a,40.37694122371889,49.85531254602257,I-V: 09:10-17:30 VI: 10:00-14:00 VII: çalışmır depozit qutuları
3542,Rəqəmsal 3 filialı,Neftçilər pr. 67,40.36111915323849,49.834063471164775,I-V: 09:10-17:30 VI: 10:00-14:00 VII: çalışmır
3547,Rəqəmsal 4 filialı,Ü. Hacıbəyov küç.16,40.371399030172846,49.84228214417607,I-V: 09:10-17:30 VI: 10:00-14:00 VII: çalışmır
3551,Rəqəmsal 5 filialı,H. Zərdabi pr. 3166,40.401255898721175,49.80603553936765,I-V: 09:10-17:30 VI: 10:00-14:00 VII: çalışmır
3568,Rəqəmsal 6 filialı,İ. Qutqaşınlı küç. 89,40.372597631291455,49.81967080312418,I-V: 09:10-17:30 VI: 10:00-14:00 VII: çalışmır depozit qutuları ipoteka krediti KOB xidmət mərkəzi
3578,Rəqəmsal 7 filialı,C. Cabbarlı küç. 37,40.3841467259977,49.82888696931828,I-V: 09:10-17:30 VI: 10:00-14:00 VII: çalışmır
3585,Rəqəmsal 8 filialı,Xocalı pr. 32,40.382718806154756,49.873079078480785,I-V: 09:10-17:30 VI: 10:00-14:00 VII: çalışmır
83314,Rəqəmsal 9 filialı,A. M. Şərifzadə küç. 130D,40.38561187004786,49.8036752625767,I-V: 09:10-17:30 VI: 10:00-14:00 VII: çalışmır KOB xidmət mərkəzi
91876,Rəqəmsal X filialı,Ak. H. Əliyev küç. 10F,40.3970232932525,49.8264375,I-V: 09:10-17:30 VI: 10:00-14:00 VII: çalışmır KOB xidmət mərkəzi
3594,Xətai filialı,"F. Bayramov küç. 6, m. 2,3​",40.37836033188881,49.86848132684846,I-V: 09:10-17:00 (korporativ müştərilər üçün) respublikadankənar beynəlxalq köçürmələr VI-VII: çalışmır
102259,“KOB ofisi” filialı,"Qaradağ r-nu, “Abşeron” ticarət mərkəzi, sıra 1, korpus 6",40.32024,49.75494,I-V: 09:10-17:30 (kiçik və orta sahibkarlar üçün) VI-VII: çalışmır
83306,Sumqayıt KOB ofisi və Rəqəmsal filialı,"Sumqayıt ş., H. Əliyev pr. 208c",40.58965481066812,49.66779403602434,I-V: 09:10-17:30 VI: 10:00-14:00 VII: çalışmır KOB ofisi
3601,Gəncə filialı,M. A. Abbaszadə küç. 35,40.67046258078339,46.36269325315961,I-V: 09:10-17:30 VI: 10:00-14:00 VII: çalışmır depozit qutuları KOB xidmət mərkəzi
3605,Şirvan filialı,M. Ə. Rəsulzadə küç. 33,39.959408674838805,48.94704480738602,I-V: 09:10-17:30 VI: 10:00-14:00 VII: çalışmır KOB xidmət mərkəzi
3619,Naxçıvan filialı,İstiqlal küç. 10a,39.21467482492664,45.41151436818064,I-V: 09:10-17:30 VI-VII: çalışmır KOB xidmət mərkəzi
