id,name,metro,address,latitude,longitude,working_hours
1178,Baş ofis / MXD,20 Yanvar,"Bakı şəh., Zərdabi pros. 81k",40.403065,49.806690,Bazar ertəsi - Cümə: 09:00 - 18:00
1221,Sahil filialı,Sahil,"Bakı şəh., Bülbül pr. 5",40.371250,49.845016,Bazar ertəsi - Cümə: 09:00 - 22:00Şənbə - Bazar: 10:00 - 16:00
13335,İnşaatçılar filialı,İnşaatçılar,Abbas Mirzə Şərifzadə küç. 92,40.390068,49.802959,Bazar ertəsi - Cümə: 09:00 - 20:00Şənbə - Bazar: 10:00 - 16:00
13822,Zabrat filialı,,"Sabunçu r, Babək küçəsi 64",40.473045,49.948151,Bazar ertəsi - Cümə: 09:00 - 18:00
1223,Mərkəz filialı,28 May,"Bakı şəhəri, Şəmsi Bədəlbəyli küçəsi 102",40.378178,49.846416,Bazar ertəsi - Cümə: 09:00 - 18:00
1222,Elmlər Akademiyası filialı,Elmlər Akademiyası,"Bakı şəh., 547-ci kvartal, Inşaatçılar prospekti",40.375111,49.818783,Bazar ertəsi - Cümə: 09:00 - 18:00
1224,Nərimanov filialı,Gənclik,"Bakı şəh., Nərimanov ray., Atatürk pr., 31",40.410072,49.847126,Bazar ertəsi - Cümə: 09:00 - 18:00
1197,Xalqlar filialı,Xalqlar Dostluğu,"Bakı şəh., Bəhruz Nuriyev küç. 238",40.399216,49.950325,Bazar ertəsi - Cümə: 09:00 - 18:00
14128,Əhmədli filialı,Əhmədli,"Bakı şəh., Sarayevo küçəsi 33b",40.386639,49.958248,Bazar ertəsi - Cümə: 09:00 - 20:00Şənbə - Bazar: 10:00 - 16:00
5851,Mərdəkan filialı,,"Bakı şəhəri, Xəzər rayonu, Şağan qəsəbəsi, Nüsrət Məmmədov küçəsi 1",40.486038,50.129776,Bazar ertəsi - Cümə: 09:00 - 18:00
4020,Sədərək filialı,,"Bakı şəh., Qaradağ ray., Lökbatan qəs., Sədərək Ticarət Mərkəzi",40.330994,49.783878,Bazar ertəsi - Cümə: 09:00 - 18:00
1226,Sumqayıt filialı,,"Sumqayıt şəh., 1-ci mikrorayon, N.Nərimanov küç., 49 B",40.584908,49.679775,Bazar ertəsi - Cümə: 09:00 - 18:00
7162,Salyan filialı,,"Salyan şəhəri, Nizami küçəsi 2E",39.587204,48.977547,Bazar ertəsi - Cümə: 09:00 - 18:00
9333,Xaçmaz filialı,,"Xaçmaz şəhəri, Nəriman Nərimanov küçəsi, 8C",41.465351,48.803127,Bazar ertəsi - Cümə: 09:00 - 18:00
8493,Qəbələ filialı,,"Qəbələ şəh., Nizami Gəncəvi küç., 1",40.980186,47.850704,Bazar ertəsi - Cümə: 09:00 - 18:00
1227,Gəncə filialı,,"Gəncə şəh., Nizami küç., 62",40.682480,46.358440,Bazar ertəsi - Cümə: 09:00 - 18:00
7215,Ağcabədi filialı,,Məmməd Əmin Rəsulzadə 200A,40.053253,47.440228,Bazar ertəsi - Cümə: 09:00 - 18:00
1229,Lənkəran filialı,,"Lənkəran şəh., Müzəffər Nəsirli küç 11",38.752934,48.851913,Bazar ertəsi - Cümə: 09:00 - 18:00
11519,Masallı filialı,,"Masallı şəhəri, Heydər Əliyev prospekti 220",39.025009,48.667622,Bazar ertəsi - Cümə: 09:00 - 18:00
11079,Tovuz filialı,,"Tovuz rayonu, Aşağı Öysüzlü kəndi",40.979584,45.617321,Bazar ertəsi - Cümə: 09:00 - 18:00
1228,Bərdə filialı,,"Bərdə şəh., Heydər Əliyev prospekti 72.",40.384602,47.124157,Bazar ertəsi - Cümə: 09:00 - 18:00
12864,Şamaxı filialı,,"Şamaxı şəhəri, Məmməd Əmin Rəsulzadə küçəsi, 56",40.640057,48.638390,Bazar ertəsi - Cümə: 09:00 - 18:00
