name,address,phone,working_hours,latitude,longitude
Azadlıq filialı,Azadlıq prospekti 111,(+994 12) 505 56 16 ; *9229,Bazar ertəsi-Cümə: 09:00-17:00,40.3869432,49.8429755
Babək filialı,"Babək pr.12A, Babək Plaza",(+994 12) 505 56 16 ; *9229,Bazar ertəsi-Cümə: 09:00-17:00,,
Baş ofis və MXD,"Yasamal Rayonu, Həsən Bəy Zərdabi 191 AZ1122, Bakı, Azərbaycan.",(+994 12) 505 56 16 ; *9229,Bazar ertəsi-Cümə: 09:00-17:00,40.3755885,49.8328009
Əhməd Rəcəbli filialı,"Nərimanov rayonu, Əhməd Rəcəbli küç., 21K",(+994 12) 505 56 16 ; *9229,Bazar ertəsi-Cümə: 09:00-17:00,40.4053996,49.8675283
Gəncə filialı,"Gəncə şəh, Nizami ray, Heydər Əliyev pr.437",(+994 22) 256 00 91,Bazar ertəsi-Cümə: 09:00-17:00,40.6798083,46.3597178
İçərişəhər filialı,İstiqlaliyyət prospekti 31/22,(+994 12) 505 56 16 ; *9229,Bazar ertəsi-Cümə: 09:00-17:00,,
Quba şöbəsi,"Quba şəhəri, Heydər Əliyev prospekti 1 (ASAN xidmət, 2-ci mərtəbə)",*9229,Bazar ertəsi-Cümə: 09:00-17:00,41.3575808,48.4997878
Naxçıvan filialı,"Naxçıvan MR, Naxçıvan şəhəri, Atatürk küçəsi ev 9",*9229,Bazar ertəsi-Cümə: 09:00-17:00,39.2174970,45.4069671
Neftçilər filialı,"Nizami rayou, Qara Qarayev prospekti 229",(+994 12) 505 56 16; *9229,Bazar ertəsi-Cümə: 09:00-17:00,40.4190845,49.9245723
Sədərək filialı,"Qaradağ ray., Sədərək Ticarət Mərkəzi",(+994 12) 505 56 16 ; *9229,Bazar ertəsi-Cümə: 09:00-17:00,40.3755885,49.8328009
Səməd Vurğun filialı,"Səməd Vurğun küç. 53, World Business Center, 1-ci mərtəbə.",(+994 12) 505 56 16 ; *9229,Bazar ertəsi-Cümə: 09.00-17.00,40.3769031,49.8408392
Sumqayıt filialı,"Sumqayıt şəh ,Heydər Əliyev prospekti 136H",(+994 12) 505 56 16 ; *9229,Bazar ertəsi-Cümə: 09:00-17:00,40.7039350,49.6576930
